Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,Days_past_conc,Takeover_Date,Tkov_Notes,takeover,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,unit_size,Rank_3,repro_state,rain30,mminT30,std_rain30,std_mminT30
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.067,3533,4/5/10,4,2010,1462.441667,29,4/15/09,Avon = new male,none,4 weeks,80,15.24359093,1092.078156,Preg17,6.995837725,small,Low,1st_Trimester,67.3,8.904,-0.395786921,0.0057311
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.064,3712,5/12/10,5,2010,1462.443056,66,4/15/09,Avon = new male,none,10 weeks,80,24.88365039,1866.273779,Preg4B,7.53169909,small,Low,2nd_Trimester,57,9.98,-0.454048957,0.894376359
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.055,3919,6/14/10,6,2010,1462.4,99,4/15/09,Avon = new male,none,14 weeks,80,24.02289883,2096.543898,Preg5B,7.648045505,small,Low,2nd_Trimester,220.1,9.987096774,0.468527562,0.900237432
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.069,3514,4/3/10,4,2010,1462.450694,21,4/15/09,Avon = new male,none,4 weeks,80,9.915769998,689.7926955,Preg17,6.536391111,small,Low,1st_Trimester,65.9,8.848,-0.403706033,-0.040518096
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.064,3921,6/15/10,6,2010,1462.420139,94,4/15/09,Avon = new male,none,14 weeks,80,8.950920192,671.3190144,Preg5B,6.509244455,small,Low,2nd_Trimester,266.1,9.877419355,0.728726948,0.80965721
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.052,3701,5/12/10,5,2010,1462.352083,60,4/15/09,Avon = new male,none,8 weeks,80,33.58529618,3100.181185,Preg7,8.039215836,small,Low,1st_Trimester,57,9.98,-0.454048957,0.894376359
Preg_3,ID_3,B1,M,multi,3/31/10,9/29/10,9,29,10,0.06,3620,4/23/10,4,2010,1462.370139,23,4/17/06,Francisco = new male,none,4 weeks,80,25.50837309,2040.669847,Preg4B,7.621033389,large,High,1st_Trimester,62.5,9.475,-0.422938161,0.47730772
Preg_3,ID_3,B1,M,multi,3/31/10,9/29/10,9,29,10,0.069,3717,5/13/10,5,2010,1462.402083,43,4/17/06,Francisco = new male,none,6 weeks,80,26.79263876,1863.83574,Preg4B,7.530391869,large,High,1st_Trimester,50,10.06,-0.493644516,0.960446638
Preg_3,ID_3,B1,M,multi,3/31/10,9/29/10,9,29,10,0.077,3881,6/10/10,6,2010,1462.364583,71,4/17/06,Francisco = new male,none,10 weeks,80,9.223146431,574.9493879,Preg5B,6.354282016,large,High,2nd_Trimester,200.6,10.25806452,0.358225648,1.124023865
Preg_3,ID_3,B1,M,multi,3/31/10,9/29/10,9,29,10,0.082,3955,7/16/10,7,2010,1462.390278,107,4/17/06,Francisco = new male,none,16 weeks,80,27.56728474,1613.694717,Preg5B,7.386281684,large,High,2nd_Trimester,125.5,8.8,-0.066578132,-0.080160263
Preg_3,ID_3,B1,M,multi,3/31/10,9/29/10,9,29,10,0.047,4151,8/30/10,8,2010,1462.379861,152,4/17/06,Francisco = new male,none,22 weeks,80,34.82304739,3556.396329,Preg6,8.176503044,large,High,3rd_Trimester,481.7,7.814814815,1.948270159,-0.893803519
Preg_4,ID_4,B2,M,multi,3/3/10,9/1/10,9,1,10,0.067,3762,5/17/10,5,2010,1462.416667,75,4/17/06,Francisco = new male,none,10 weeks,80,18.99846235,1361.08387,Preg20B,7.216036625,small,Low,2nd_Trimester,50.1,10.195,-0.493078865,1.071940235
Preg_4,ID_4,B2,M,multi,3/3/10,9/1/10,9,1,10,0.06,3628,4/24/10,4,2010,1462.392361,52,4/17/06,Francisco = new male,none,8 weeks,80,14.34116584,1147.293267,Preg4B,7.045160766,small,Low,1st_Trimester,62.5,9.492,-0.422938161,0.491347654
Preg_4,ID_4,B2,M,multi,3/3/10,9/1/10,9,1,10,0.088,3834,6/4/10,6,2010,1462.411111,93,4/17/06,Francisco = new male,none,14 weeks,80,13.58046847,740.7528258,Preg5B,6.607667001,small,Low,2nd_Trimester,173.8,10.37741935,0.206631223,1.222596453
Preg_4,ID_4,B2,M,multi,3/3/10,9/1/10,9,1,10,0.056,4119,8/17/10,8,2010,1462.449306,167,4/17/06,Francisco = new male,none,24 weeks,80,11.73917359,1006.21488,Preg6,6.913950926,small,Low,3rd_Trimester,684.9,7.764516129,3.097672665,-0.935344122
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.06,3629,4/24/10,4,2010,1462.402778,32,7/24/09,Leatherface = new male,none,6 weeks,80,26.36930964,2109.544771,Preg4B,7.654227455,small,High,1st_Trimester,62.5,9.492,-0.422938161,0.491347654
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.047,4114,8/17/10,8,2010,10:03,147,7/24/09,Leatherface = new male,none,20 weeks,80,28.40009738,2900.435477,Preg6,7.972616169,small,High,3rd_Trimester,684.9,7.764516129,3.097672665,-0.935344122
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.019,4176,9/3/10,9,2010,1462.379167,164,7/24/09,Leatherface = new male,none,22 weeks,80,12.85930347,3248.666141,Preg6,8.085999773,small,High,3rd_Trimester,485.8,7.907407407,1.971461843,-0.817333289
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.093,3757,5/17/10,5,2010,1462.380556,55,7/24/09,Leatherface = new male,none,8 weeks,80,53.94251311,2784.129709,Preg8,7.931690611,small,High,1st_Trimester,50.1,10.195,-0.493078865,1.071940235
Preg_5,ID_5,B2,F,primi,3/23/10,9/21/10,9,21,10,0.072,3829,6/4/10,6,2010,1462.369444,73,7/24/09,Leatherface = new male,none,10 weeks,80,14.59306965,972.8713098,Preg8,6.880251812,small,High,2nd_Trimester,173.8,10.37741935,0.206631223,1.222596453
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.075,3621,4/23/10,4,2010,1462.370139,27,4/17/06,,none,4 weeks,80,39.9564551,2557.213126,Preg4B,7.846673322,large,Low,1st_Trimester,62.5,9.475,-0.422938161,0.47730772
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.065,3722,5/13/10,5,2010,1462.426389,47,4/17/06,,none,8 weeks,80,23.87863591,1763.345421,Preg4B,7.474968091,large,Low,1st_Trimester,50,10.06,-0.493644516,0.960446638
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.049,3870,6/9/10,6,2010,1462.491667,74,4/17/06,,none,10 weeks,80,12.62432078,1236.668158,Preg5B,7.120176073,large,Low,2nd_Trimester,185.6,10.32903226,0.273378022,1.182634596
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.039,3964,7/16/10,7,2010,1462.422222,111,4/17/06,,none,16 weeks,80,13.94406515,1716.192634,Preg5B,7.447863531,large,Low,2nd_Trimester,125.5,8.8,-0.066578132,-0.080160263
Preg_6,ID_6,B1,F,primi,3/27/10,9/25/10,9,25,10,0.066,4153,8/30/10,8,2010,1462.382639,156,4/17/06,,none,22 weeks,80,23.26560767,1692.044194,Preg6,7.433692659,large,Low,3rd_Trimester,481.7,7.814814815,1.948270159,-0.893803519
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.053,3619,4/23/10,4,2010,1462.370139,67,4/17/06,Francisco = new male,none,10 weeks,80,13.28974574,1203.599614,Preg4B,7.093072024,large,High,2nd_Trimester,62.5,9.475,-0.422938161,0.47730772
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.078,3724,5/13/10,5,2010,1462.427778,87,4/17/06,Francisco = new male,none,12 weeks,80,4.300115226,264.6224754,Preg4B,5.578304189,large,High,2nd_Trimester,50,10.06,-0.493644516,0.960446638
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.072,3875,6/10/10,6,2010,1462.360417,115,4/17/06,Francisco = new male,none,16 weeks,80,11.56066833,770.7112221,Preg5B,6.647313754,large,High,2nd_Trimester,200.6,10.25806452,0.358225648,1.124023865
Preg_7,ID_7,B1,F,multi,2/15/10,8/16/10,8,16,10,0.021,3963,7/16/10,7,2010,1462.399306,151,4/17/06,Francisco = new male,none,20 weeks,80,8.194990293,1873.140638,Preg5B,7.535371787,large,High,3rd_Trimester,125.5,8.8,-0.066578132,-0.080160263
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.074,1787,10/30/08,10,2008,1462.390278,19,1/29/08,Nafta = new male,none,4 weeks,80,23.46152424,1521.828599,Preg15,7.327667916,small,High,1st_Trimester,93.6,8.351724138,-0.24702075,-0.450381657
Preg_8,ID_8,C3,F,primi,10/11/08,4/11/09,4,11,9,0.065,1901,1/31/09,1,2009,1462.46875,112,1/29/08,Nafta = new male,none,16 weeks,80,10.07678212,744.1316025,Preg17,6.612217904,small,High,2nd_Trimester,0,6.561538462,-0.776469936,-1.928857505
