Preg_num,ID_num,UNIT,INF.SEX,PARITY,CONCEPTION_DATE,BIRTH_DATE,birth_mo,birth_day,birth_yr,dry.wt,SID,SAMPLE_DATE,Month,Year,Time,RIA.GC.ng.g,logRIA,Days_past_conc,biweek,EIA.Dilution,EIA.GC.dose,EIA.GC.ng.g,EIA.Assay,logEIA,repro_state
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.07,3237,12/10/09,12,2009,1462.420833,23.54815919,3.159047651,-87,-12 weeks,80,8.903010434,610.492144,Preg16,6.414265425,PreG_3
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.067,3533,4/5/10,4,2010,1462.441667,18.93909783,2.941228454,29,4 weeks,80,15.24359093,1092.078156,Preg17,6.995837725,1st_Trimester
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.064,3712,5/12/10,5,2010,1462.443056,9.477619469,2.248933174,66,10 weeks,80,24.88365039,1866.273779,Preg4B,7.53169909,2nd_Trimester
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.055,3919,6/14/10,6,2010,1462.4,22.50084177,3.113552721,99,14 weeks,80,24.02289883,2096.543898,Preg5B,7.648045505,2nd_Trimester
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.024,4279,9/30/10,9,2010,11:33,35.55032713,3.570949358,207,28 weeks,80,12.90643071,2581.286141,Preg6,7.856043058,Lactating_3
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.065,4415,10/14/10,10,2010,1462.365278,33.03370635,3.497528445,221,30 weeks,80,14.11554901,1042.379004,Preg7,6.949260884,Lactating_3
Preg_1,ID_1,A,F,primi,3/7/10,9/5/10,9,5,10,0.047,4574,11/6/10,11,2010,1462.471528,23.13208297,3.141220527,244,34 weeks,80,8.32789703,850.5086328,Preg8,6.745834562,Lactating_3
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.03,3371,2/25/10,2,2010,1462.384722,33.70363052,3.517605562,-16,-4 weeks,80,6.2732227,1003.715632,Preg16,6.911464025,PreG_3
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.069,3514,4/3/10,4,2010,1462.450694,18.14358828,2.898317235,21,4 weeks,80,9.915769998,689.7926955,Preg17,6.536391111,1st_Trimester
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.037,4412,10/14/10,10,2010,1462.358333,29.41146856,3.381384685,215,30 weeks,80,5.309269489,688.7700958,Preg4B,6.534907537,Lactating_3
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.064,3921,6/15/10,6,2010,1462.420139,15.28241208,2.72670263,94,14 weeks,80,8.950920192,671.3190144,Preg5B,6.509244455,2nd_Trimester
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.052,3701,5/12/10,5,2010,1462.352083,9.28498428,2.228398502,60,8 weeks,80,33.58529618,3100.181185,Preg7,8.039215836,1st_Trimester
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.04,4307,10/2/10,10,2010,9:09,23.90701378,3.174171879,203,28 weeks,80,5.201053463,624.1264156,Preg8,6.436352937,Lactating_3
Preg_2,ID_2,A,F,multi,3/13/10,9/11/10,9,11,10,0.046,4573,11/6/10,11,2010,1462.470139,20.68723244,3.02951672,238,32 weeks,80,5.715377134,596.3871792,Preg8,6.390890086,Lactating_3
